date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,elev_m,home_elev_m,away_elev_m,delta_elev,home_capacity,away_capacity,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_delta,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,-8.53
2021-10-19,2021,Milwaukee Bucks,Brooklyn Nets,127,104,23,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,21.47
2021-10-20,2021,Charlotte Hornets,Indiana Pacers,123,122,1,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,-0.53
2021-10-20,2021,Detroit Pistons,Chicago Bulls,88,94,-6,Little Caesars Arena,42.3412,-83.0549,20332.0,184.0,184.0,,,20332.0,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,-7.53
2021-10-20,2021,Toronto Raptors,Washington Wizards,83,98,-15,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,-16.53
2021-10-20,2021,New York Knicks,Boston Celtics,138,134,4,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,2.47
2021-10-20,2021,Memphis Grizzlies,Cleveland Cavaliers,132,121,11,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,9.47
2021-10-20,2021,Minnesota Timberwolves,Houston Rockets,124,106,18,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,16.47
2021-10-20,2021,New Orleans Pelicans,Philadelphia 76ers,97,117,-20,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,-21.53
2021-10-20,2021,San Antonio Spurs,Orlando Magic,123,97,26,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,24.47
2021-10-20,2021,Utah Jazz,Oklahoma City Thunder,107,86,21,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,19.47
2021-10-20,2021,Portland Trail Blazers,Sacramento Kings,121,124,-3,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,-4.53
2021-10-20,2021,Phoenix Suns,Denver Nuggets,98,110,-12,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,-13.53
2021-10-21,2021,Golden State Warriors,LA Clippers,115,113,2,,,,,,,88.0,,,19060.0,0.0,0.0,True,True,0.0,1508.4127645930691,1500.0,8.412764593069141,0.5121045758702172,1.88,0.12
2021-10-21,2021,Miami Heat,Milwaukee Bucks,137,95,42,,,,,,,,,,,,2.0,False,False,1.0,1500.0,1518.06830508214,-18.068305082139887,0.4740210345641082,0.79,41.21
2021-10-21,2021,Atlanta Hawks,Dallas Mavericks,113,87,26,,,,,,,,,,,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.53,24.47
2021-10-22,2021,Philadelphia 76ers,Brooklyn Nets,109,114,-5,,,,,,,,,,,2.0,3.0,False,False,-1.0,1516.3802680898893,1481.93169491786,34.44857317202923,0.5494136607960994,2.94,-7.94
2021-10-22,2021,Washington Wizards,Indiana Pacers,135,134,1,,,,,,,,,,,2.0,2.0,False,False,0.0,1513.4634617453544,1495.9580891559722,17.505372589382205,0.5251709601772234,2.25,-1.25
