date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,team_key,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,los angeles lakers,1500.0,1500.0,0.0,0.5,1.68,-8.68
2021-10-19,2021,Milwaukee Bucks,Brooklyn Nets,127,104,23,Fiserv Forum,43.0451,-87.9182,17341.0,milwaukee bucks,1500.0,1500.0,0.0,0.5,1.68,21.32
2021-10-20,2021,Charlotte Hornets,Indiana Pacers,123,122,1,Spectrum Center,35.225,-80.839166666667,19077.0,charlotte hornets,1500.0,1500.0,0.0,0.5,1.68,-0.68
2021-10-20,2021,Detroit Pistons,Chicago Bulls,88,94,-6,Little Caesars Arena,42.3412,-83.0549,20332.0,detroit pistons,1500.0,1500.0,0.0,0.5,1.68,-7.68
2021-10-20,2021,Toronto Raptors,Washington Wizards,83,98,-15,Scotiabank Arena,43.643333333333,-79.379166666667,19800.0,toronto raptors,1500.0,1500.0,0.0,0.5,1.68,-16.68
2021-10-20,2021,New York Knicks,Boston Celtics,138,134,4,Madison Square Garden,40.750555555556,-73.993611111111,20789.0,new york knicks,1500.0,1500.0,0.0,0.5,1.68,2.32
2021-10-20,2021,Memphis Grizzlies,Cleveland Cavaliers,132,121,11,FedExForum,35.138333333333,-90.050555555556,18119.0,memphis grizzlies,1500.0,1500.0,0.0,0.5,1.68,9.32
2021-10-20,2021,Minnesota Timberwolves,Houston Rockets,124,106,18,Target Center,44.979444444444,-93.276111111111,19356.0,minnesota timberwolves,1500.0,1500.0,0.0,0.5,1.68,16.32
2021-10-20,2021,New Orleans Pelicans,Philadelphia 76ers,97,117,-20,Smoothie King Center,29.948888888889,-90.081944444444,18500.0,new orleans pelicans,1500.0,1500.0,0.0,0.5,1.68,-21.68
2021-10-20,2021,San Antonio Spurs,Orlando Magic,123,97,26,Frost Bank Center,29.426944444444,-98.4375,18581.0,san antonio spurs,1500.0,1500.0,0.0,0.5,1.68,24.32
2021-10-20,2021,Utah Jazz,Oklahoma City Thunder,107,86,21,Delta Center,40.768333,-111.901111,19911.0,utah jazz,1500.0,1500.0,0.0,0.5,1.68,19.32
2021-10-20,2021,Portland Trail Blazers,Sacramento Kings,121,124,-3,Moda Center,45.531666666667,-122.66666666667,20636.0,portland trail blazers,1500.0,1500.0,0.0,0.5,1.68,-4.68
2021-10-20,2021,Phoenix Suns,Denver Nuggets,98,110,-12,Mortgage Matchup Center,33.445833333333,-112.07138888889,19023.0,phoenix suns,1500.0,1500.0,0.0,0.5,1.68,-13.68
2021-10-21,2021,Atlanta Hawks,Dallas Mavericks,113,87,26,State Farm Arena,33.757222222222,-84.396388888889,19445.0,atlanta hawks,1500.0,1500.0,0.0,0.5,1.68,24.32
2021-10-21,2021,Miami Heat,Milwaukee Bucks,137,95,42,Kaseya Center,25.781388888889,-80.188055555556,16500.0,miami heat,1500.0,1518.06830508214,-18.068305082139887,0.4740210345641082,0.9,41.1
2021-10-21,2021,Golden State Warriors,LA Clippers,115,113,2,Chase Center,37.767833333333,-122.38738888889,18000.0,golden state warriors,1508.4127645930691,1500.0,8.412764593069141,0.5121045758702172,2.04,-0.04
2021-10-22,2021,Philadelphia 76ers,Brooklyn Nets,109,114,-5,Xfinity Mobile Arena,39.90115,-75.17197,20328.0,philadelphia 76ers,1516.3802680898893,1481.93169491786,34.44857317202923,0.5494136607960994,3.16,-8.16
2021-10-22,2021,Washington Wizards,Indiana Pacers,135,134,1,Capital One Arena,38.898055555556,-77.020833333333,20674.0,washington wizards,1513.4634617453544,1495.9580891559722,17.505372589382205,0.5251709601772234,2.43,-1.43
2021-10-22,2021,Boston Celtics,Toronto Raptors,83,115,-32,TD Garden,42.366302777778,-71.062227777778,18624.0,boston celtics,1493.6756314749289,1486.5365382546456,7.139093220283257,0.5102725353049506,1.98,-33.98
2021-10-22,2021,Cleveland Cavaliers,Charlotte Hornets,112,123,-11,Rocket Arena,41.496388888889,-81.688055555556,20562.0,cleveland cavaliers,1488.988634836014,1504.0419108440278,-15.053276008013881,0.4783501398492716,1.03,-12.03
2021-10-22,2021,Houston Rockets,Oklahoma City Thunder,124,91,33,Toyota Center,29.750833333333,-95.362222222222,18023.0,houston rockets,1484.7694995991114,1483.052418543219,1.7170810558925496,0.5024710581582993,1.75,31.25
2021-10-22,2021,Denver Nuggets,San Antonio Spurs,102,96,6,Ball Arena,39.748611111111,-105.0075,19155.0,denver nuggets,1511.6362151830538,1519.7177399664115,-8.081524783357736,0.48837184800530387,1.33,4.67
2021-10-22,2021,Orlando Magic,New York Knicks,96,121,-25,Kia Center,28.539167,-81.383611,18846.0,orlando magic,1480.2822600335885,1506.3243685250711,-26.042108491482622,0.4625924224880888,0.55,-25.55
2021-10-22,2021,Los Angeles Lakers,Phoenix Suns,105,115,-10,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,los angeles lakers,1491.5872354069309,1488.3637848169462,3.2234505899846226,0.5046387851990702,1.82,-11.82
2021-10-22,2021,Chicago Bulls,New Orleans Pelicans,128,112,16,United Center,41.880555555556,-87.674166666667,23500.0,chicago bulls,1507.732728179727,1483.6197319101107,24.11299626961636,0.5346457823066002,2.72,13.28
2021-10-22,2021,Sacramento Kings,Utah Jazz,101,110,-9,Golden 1 Center,38.58,-121.5,18500.0,sacramento kings,1505.5906169501727,1516.947581456781,-11.356964506608392,0.48366183298084486,1.19,-10.19
2021-10-23,2021,San Antonio Spurs,Milwaukee Bucks,111,121,-10,Frost Bank Center,29.426944444444,-98.4375,18581.0,san antonio spurs,1511.8560049545404,1489.0097185736777,22.846286380862693,0.5328311423792668,2.66,-12.66
2021-10-23,2021,Portland Trail Blazers,Phoenix Suns,134,105,29,Moda Center,45.531666666667,-122.66666666667,20636.0,portland trail blazers,1494.4093830498273,1498.8106391813315,-4.401256131504169,0.4936664220636318,1.49,27.51
